date,ticker,name,account,sector,qty,lev,avg_price_krw,price,nominal,real,pnl,pnl_pct
2026-08-13,CASH_ISA,예수금,ISA,현금,1.0,1,297366.0,297366.0,297366.0,297366.0,0.0,0.0
2026-08-13,KRX:009150,삼성전기,ISA,AI/데이터센터,7.0,1,1187540.0,1503000.0,10521000.0,10521000.0,2208220.0,0.265642
2026-08-13,KRX:0193T0,SK하이닉스X2,ISA,반도체/HW,3000.0,2,17550.0,9205.0,27615000.0,55230000.0,-25035000.0,-0.475499
2026-08-13,CASH_국장,예수금,국장,현금,1.0,1,2211816.0,2211816.0,2211816.0,2211816.0,0.0,0.0
2026-08-13,CREDIT_국장,신용잔고,국장,신용,1.0,1,479944569.0,479944569.0,479944569.0,479944569.0,0.0,0.0
2026-08-13,KRX:000660,SK하이닉스,국장,반도체/HW,140.0,1,1887803.0,1593000.0,223020000.0,223020000.0,-41272420.0,-0.156162
2026-08-13,KRX:005930,삼성전자,국장,반도체/HW,900.0,1,233577.0,268000.0,241200000.0,241200000.0,30980700.0,0.147373
2026-08-13,KRX:009150,삼성전기,국장,반도체/HW,43.0,1,1483987.0,1503000.0,64629000.0,64629000.0,817559.0,0.012812
2026-08-13,KRX:012330,현대모비스,국장,로봇/피지컬AI,150.0,1,592075.0,511000.0,76650000.0,76650000.0,-12161250.0,-0.136934
2026-08-13,KRX:0193T0,SK하이닉스X2,국장,반도체/HW,13500.0,2,20042.0,9205.0,124267500.0,248535000.0,-146299500.0,-0.540714
2026-08-13,KRX:0193W0,삼성전자X2,국장,반도체/HW,12000.0,2,18280.0,12845.0,154140000.0,308280000.0,-65220000.0,-0.297319
2026-08-13,CASH_미장,예수금,미장,현금,1.0,1,92258.0,92258.0,92258.0,92258.0,0.0,0.0
2026-08-13,SOXL,Direxion Daily Semiconductor Bull 3X,미장,반도체/HW,277.0,3,202000.0,205669.0,56970313.0,170910939.0,1016313.0,0.018163
2026-08-14,CASH_ISA,예수금,ISA,현금,1.0,1,297366.0,297366.0,297366.0,297366.0,0.0,0.0
2026-08-14,KRX:009150,삼성전기,ISA,AI/데이터센터,7.0,1,1187540.0,1558000.0,10906000.0,10906000.0,2593220.0,0.311956
2026-08-14,KRX:0193T0,SK하이닉스X2,ISA,반도체/HW,3000.0,2,17550.0,9920.0,29760000.0,59520000.0,-22890000.0,-0.434758
2026-08-14,CASH_국장,예수금,국장,현금,1.0,1,2211816.0,2211816.0,2211816.0,2211816.0,0.0,0.0
2026-08-14,CREDIT_국장,신용잔고,국장,신용,1.0,1,479944569.0,479944569.0,479944569.0,479944569.0,0.0,0.0
2026-08-14,KRX:000660,SK하이닉스,국장,반도체/HW,140.0,1,1887803.0,1657000.0,231980000.0,231980000.0,-32312420.0,-0.12226
2026-08-14,KRX:005930,삼성전자,국장,반도체/HW,900.0,1,233577.0,272000.0,244800000.0,244800000.0,34580700.0,0.164498
2026-08-14,KRX:009150,삼성전기,국장,반도체/HW,43.0,1,1483987.0,1558000.0,66994000.0,66994000.0,3182559.0,0.049874
2026-08-14,KRX:012330,현대모비스,국장,로봇/피지컬AI,150.0,1,592075.0,540000.0,81000000.0,81000000.0,-7811250.0,-0.087953
2026-08-14,KRX:0193T0,SK하이닉스X2,국장,반도체/HW,13500.0,2,20042.0,9920.0,133920000.0,267840000.0,-136647000.0,-0.505039
2026-08-14,KRX:0193W0,삼성전자X2,국장,반도체/HW,12000.0,2,18280.0,13365.0,160380000.0,320760000.0,-58980000.0,-0.268873
2026-08-14,CASH_미장,예수금,미장,현금,1.0,1,92258.0,92258.0,92258.0,92258.0,0.0,0.0
2026-08-14,SOXL,Direxion Daily Semiconductor Bull 3X,미장,반도체/HW,277.0,3,202000.0,202812.0,56178924.0,168536772.0,224924.0,0.00402
